profile_code,assigned_profile
3427,Soil Dust
3428,Soil Dust
3429,Soil Dust
3430,Soil Dust
3431,Road Dust
3432,Road Dust
3433,Road Dust
3434,Road Dust
3435,Road Dust
3436,Road Dust
3437,Road Dust
3438,Road Dust
3439,Road Dust
3440,Road Dust
3441,Soil Dust
3442,Soil Dust
3443,Soil Dust
3444,Soil Dust
3445,Soil Dust
3446,Biomass Burning
3447,Biomass Burning
3448,Biomass Burning
3449,Biomass Burning
3450,Biomass Burning
3451,Biomass Burning
3452,Biomass Burning
3453,Biomass Burning
3454,Biomass Burning
3455,Biomass Burning
3456,Industrial Dust
3457,Industrial Dust
3458,Industrial Dust
3459,Industrial Dust
3460,Industrial Dust
3461,Diesel Vehicle
3462,Diesel Vehicle
3463,Diesel Vehicle
3465,Diesel Vehicle
3466,Industrial Dust
3467,Industrial Dust
3468,Industrial Dust
3469,Industrial Dust
3470,Industrial Dust
3471,Industrial Dust
3472,Industrial Dust
3473,Industrial Dust
3474,Industrial Dust
3475,Industrial Dust
3476,Soil Dust
3477,Soil Dust
3478,Soil Dust
3479,Soil Dust
3480,Soil Dust
3481,Soil Dust
3482,Soil Dust
3483,Soil Dust
3484,Soil Dust
3485,Soil Dust
3486,Soil Dust
3487,Soil Dust
3488,Soil Dust
3489,Soil Dust
3490,Construction
3491,Construction
3492,Construction
3493,Soil Dust
3494,Soil Dust
3495,Soil Dust
3496,Soil Dust
3497,Soil Dust
3498,Soil Dust
3499,Road Dust
3500,Road Dust
3501,Road Dust
3502,Road Dust
